country,hq_article_counts,all_article_counts,population,hq_articles_ratio,all_articles_per_pop
Netherlands,8,702,17200000.0,0.011396011396011397,4.0813953488372096e-05
New Zealand,12,790,4900000.0,0.015189873417721518,0.00016122448979591836
Nicaragua,1,116,6300000.0,0.008620689655172414,1.841269841269841e-05
Niger,3,80,22200000.0,0.0375,3.6036036036036035e-06
Nigeria,3,682,195900000.0,0.004398826979472141,3.481368044920878e-06
Norway,6,658,5300000.0,0.00911854103343465,0.0001241509433962264
Pakistan,17,1030,200600000.0,0.01650485436893204,5.134596211365902e-06
Panama,5,109,4200000.0,0.045871559633027525,2.5952380952380953e-05
Papua New Guinea,3,163,8500000.0,0.018404907975460124,1.9176470588235294e-05
Paraguay,4,149,6900000.0,0.026845637583892617,2.1594202898550724e-05
Peru,1,354,32200000.000000004,0.002824858757062147,1.0993788819875775e-05
Philippines,21,512,107000000.0,0.041015625,4.785046728971963e-06
Poland,12,781,38400000.0,0.015364916773367477,2.0338541666666667e-05
Portugal,4,323,10300000.0,0.01238390092879257,3.1359223300970877e-05
Qatar,2,51,2700000.0,0.0392156862745098,1.888888888888889e-05
Romania,40,348,19500000.0,0.11494252873563218,1.7846153846153846e-05
Russia,31,882,147300000.0,0.035147392290249435,5.987780040733198e-06
Rwanda,1,105,12600000.0,0.009523809523809525,8.333333333333334e-06
Saudi Arabia,16,119,33400000.0,0.13445378151260504,3.562874251497006e-06
Senegal,2,43,16300000.0,0.046511627906976744,2.638036809815951e-06
Serbia,3,218,7000000.0,0.013761467889908258,3.114285714285714e-05
Sierra Leone,1,166,7700000.0,0.006024096385542169,2.1558441558441557e-05
Singapore,3,68,5800000.0,0.04411764705882353,1.1724137931034483e-05
Slovenia,1,59,2100000.0,0.01694915254237288,2.8095238095238096e-05
Somalia,10,339,15200000.0,0.029498525073746312,2.230263157894737e-05
South Africa,7,382,57700000.0,0.01832460732984293,6.620450606585789e-06
South Sudan,1,133,13000000.0,0.007518796992481203,1.0230769230769231e-05
Spain,34,879,46700000.0,0.038680318543799774,1.8822269807280515e-05
Sri Lanka,10,465,21700000.0,0.021505376344086023,2.1428571428571428e-05
Sudan,1,98,41700000.0,0.01020408163265306,2.3501199040767386e-06
Suriname,1,40,600000.0,0.025,6.666666666666667e-05
Sweden,5,379,10200000.0,0.013192612137203167,3.715686274509804e-05
Syria,8,132,18300000.0,0.06060606060606061,7.21311475409836e-06
Taiwan,9,503,23600000.0,0.017892644135188866,2.13135593220339e-05
Tajikistan,1,39,9100000.0,0.02564102564102564,4.2857142857142855e-06
Tanzania,1,408,59100000.0,0.0024509803921568627,6.903553299492386e-06
Thailand,3,112,66200000.0,0.026785714285714284,1.6918429003021149e-06
Togo,2,65,8000000.0,0.03076923076923077,8.125e-06
Tonga,1,63,100000.0,0.015873015873015872,0.00063
Trinidad and Tobago,1,28,1400000.0,0.03571428571428571,2e-05
Turkey,4,353,81300000.0,0.0113314447592068,4.341943419434194e-06
Tuvalu,5,55,10000.0,0.09090909090909091,0.0055
Ukraine,15,304,42300000.0,0.049342105263157895,7.1867612293144206e-06
United Arab Emirates,2,59,9500000.0,0.03389830508474576,6.210526315789474e-06
United Kingdom,57,865,66400000.00000001,0.06589595375722543,1.3027108433734938e-05
United States,82,1092,328000000.0,0.07509157509157509,3.329268292682927e-06
Uruguay,2,290,3500000.0,0.006896551724137931,8.285714285714286e-05
Uzbekistan,1,29,32900000.0,0.034482758620689655,8.814589665653496e-07
Vanuatu,3,60,300000.0,0.05,0.0002
Venezuela,3,135,31800000.0,0.022222222222222223,4.245283018867925e-06
Vietnam,13,191,94700000.0,0.06806282722513089,2.016895459345301e-06
Yemen,2,122,28900000.0,0.01639344262295082,4.221453287197231e-06
Zimbabwe,2,167,14000000.0,0.011976047904191617,1.192857142857143e-05
